DATAFLOW,LAST UPDATE,freq,indic_env,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,France,2014,18373,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,France,2015,20163,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,France,2016,20535,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,France,2017,21121,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,France,2018,19016,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,France,2019,20832,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,France,2020,21993,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,France,2021,23523,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,France,2022,21961,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,France,2023,22515,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Croatia,2005,181,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Croatia,2006,179,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Croatia,2007,211,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Croatia,2008,264,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Croatia,2009,212,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Croatia,2010,187,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Croatia,2011,219,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Croatia,2012,145,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Croatia,2013,217,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Croatia,2014,233,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Croatia,2015,266,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Croatia,2016,306,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Croatia,2017,385,,
