DATAFLOW,LAST UPDATE,freq,indic_env,material,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2023,20.414,i,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Czechia,1993,19.178,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Czechia,1994,17.208,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Czechia,1995,18.045,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Czechia,1996,19.466,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Czechia,1997,19.478,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Czechia,1998,17.973,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Czechia,1999,16.739,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Czechia,2000,17.541,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Czechia,2001,17.798,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Czechia,2002,17.015,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Czechia,2003,17.504,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Czechia,2004,18.577,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Czechia,2005,18.402,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Czechia,2006,18.93,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Czechia,2007,19.095,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Czechia,2008,18.641,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Czechia,2009,16.918,,
