DATAFLOW,LAST UPDATE,freq,indic_env,material,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2014,11.675,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2015,12.054,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2016,13.3,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2017,15.188,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2018,15.168,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2019,15.577,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2020,14.964,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2021,15.894,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2022,15.999,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2023,16.741,i,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,1990,26.562,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,1991,21.781,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,1992,19.733,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,1993,19.264,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,1994,18.063,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,1995,18.159,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,1996,19.183,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,1997,19.098,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,1998,17.555,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,1999,16.688,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,2000,17.176,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,2001,17.144,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,2002,16.438,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,2003,16.851,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,2004,17.781,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,2005,17.764,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,2006,18.066,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,2007,18.437,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,2008,18.129,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,2009,16.561,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,2010,15.565,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,2011,16.393,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,2012,14.952,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,2013,14.485,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,2014,14.981,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,2015,15.185,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Czechia,2016,15.126,,
