DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2009,2483.0,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2010,2507.6,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2011,2564.8,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2012,2581.6,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2013,2608.0,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2014,2684.4,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2015,2729.8,b,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2016,2845.6,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2017,3048.0,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2018,3185.7,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2019,3405.4,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2020,3029.6,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2021,3420.9,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2022,3704.1,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2023,3822.6,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2024,4095.0,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Belgium,1995,62349.6,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Belgium,1996,60783.8,,
